Priority,Tier,Topic,URL,Impressions,CTR,Position,Current Title,Current Meta Description,Recommended Title 1,Recommended Title 2,Recommended Title 3,Recommended Meta 1,Recommended Meta 2,Core Fix
1,Tier 1,Conversion Rate Optimization,https://cxl.com/conversion-rate-optimization/,"2,960,000",0.00%,9.2,"Conversion Rate Optimization Guide | CXL","Let the top conversion rate optimization (CRO) minds teach you how to double your conversion rate. You'll get field-tested, actionable advice.","Conversion Rate Optimization: The CXL Methodology Used by Top Growth Teams","What Is CRO? The Conversion Rate Optimization Guide That Goes Beyond the Basics","CRO Guide: How to Systematically Increase Conversions (With Real Data)","CXL's CRO guide covers the full process: research, hypothesis building, A/B testing, and analysis. Built on frameworks from the world's top CRO practitioners — not generic advice.","Most CRO guides tell you what to test. This one tells you how to think about testing — and why most optimization programs fail. Built by practitioners who've run thousands of experiments.","Generic title indistinguishable from any other CRO guide — needs methodology differentiator"
2,Tier 1,Landing Page Conversion,https://cxl.com/blog/how-to-build-a-high-converting-landing-page/,"6,170,000",0.00%,5.2,"Anatomy of a High Converting Landing Page: 5 Steps to Design One | CXL","Mastering the art of creating high-converting landing pages is key to driving results for your business.","What Is a Landing Page Conversion? Definition, Benchmarks & How to Improve It","Landing Page Conversion: What It Is and How to Build Pages That Convert","Landing Page Conversion Rate Explained: What It Is, What's Good, and How to Improve","A landing page conversion happens when a visitor completes your desired action — a signup, purchase, or download. Here's what good conversion rates look like, and how to hit them.","Landing page conversion rate measures how many visitors take action. This guide covers what 'good' looks like by industry, what kills conversions, and how to fix it.","Meta is empty filler — query intent is informational (definition) but page/title frames around building. Critical intent mismatch."
3,Tier 1,Email Marketing Strategies,https://cxl.com/blog/email-marketing-strategy/,"69,000",0.00%,2.5,"Email Marketing Strategy: Collecting Subscribers, Users & Loyal Customers","What if each email you sent earned you a 2000% ROI? Email marketing (yes, still) rocks the highest return on investment of any medium, garnering on average $47 for every $1 you invest.","Email Marketing Strategies That Work: Segmentation, Automation, and Proven Frameworks","Email Marketing Strategy Guide: From List Building to Lifecycle Automation","How to Build an Email Marketing Strategy That Drives Real Revenue","A strong email marketing strategy covers more than sends and subject lines — it requires segmentation, lifecycle mapping, and testing. Here's how to build one that compounds over time.","From list building to automated sequences, this guide covers what a real email marketing strategy looks like — with frameworks you can apply to acquisition, nurture, and retention.","Salesy ROI-claim meta is likely being overridden by Google — strip it and front-load practical value"
4,Tier 1,GA4,https://cxl.com/blog/google-analytics-4/,"43,000",0.06%,8.2,"All You Need to Know About Google Analytics 4 (GA4 Guide)","GA4 is transforming how data is collected and delivering holistic measurement, making it easier to capture user behavior and improve user experience.","Google Analytics 4: The Complete Guide for Marketers Who Need to Get Up to Speed","GA4 Guide: Everything You Need to Know to Set Up, Report, and Analyze","Google Analytics 4 Explained: The Practical Guide for Marketing Teams","GA4 works differently from Universal Analytics — events replace sessions, reports are rebuilt from scratch, and configuration requires more upfront work. This guide covers all of it practically.","Everything you need to know about Google Analytics 4: how to set it up, track key events, build reports, and understand the differences from Universal Analytics.","Meta is pure PR speak — replace with practical signal of what's inside"
5,Tier 1,Psychographics,https://cxl.com/blog/psychographics/,"43,000",0.17%,7.2,"How To Use Psychographics: The Marketer's Guide","Psychographics are important—not just for messaging strategy and emotional targeting in your ads and on your site, but for how and where you acquire customers.","Psychographics: What They Are and How to Use Them to Understand Your Customers","What Are Psychographics? Definition, Examples, and How to Apply Them","Psychographics vs. Demographics: What They Are and Why They Matter More for Targeting","Psychographics go beyond who your customers are to explain why they buy — covering values, interests, attitudes, and lifestyle. Here's how to collect and use them in your marketing.","Demographics tell you who. Psychographics tell you why. This guide explains what psychographic data is, where to get it, and how to use it for better targeting and messaging.","'How to use' framing assumes knowledge — broad query needs definition-first title"
6,Tier 1,Bounce Rate,https://cxl.com/guides/bounce-rate/seo-impact/,"38,000",0.01%,13.3,"The SEO impact of bounce rate (What you need to know)","Explore the misconceptions surrounding bounce rate and its actual relevance to SEO ranking factors.","Bounce Rate: What It Is, What's a Good Rate, and How to Reduce It","What Is Bounce Rate? Definition, Benchmarks, and How to Improve It","Bounce Rate Explained: Definition, Industry Benchmarks, and Optimization Tips","Bounce rate measures the percentage of visitors who leave without taking action. Here's what counts as a good rate, how it varies by industry, and what you can do to bring it down.","High bounce rate? It doesn't always mean what you think. This guide explains what bounce rate actually measures, what good looks like for your type of site, and how to improve it.","Title too narrow for broad query — frame around definition and benchmarks, not SEO impact"
7,Tier 1,Value Proposition,https://cxl.com/blog/value-proposition-examples-how-to-create/,"100,000",0.17%,6.2,"Unique Value Proposition: How to Create a UVP (With 7 Examples)","Learn how to create a compelling unique value proposition (UVP) that clearly communicates the benefits of your product and differentiates it from competitors. Explore 7 examples of effective UVPs.","Value Proposition: What It Is, How to Write One, and 7 Real Examples","What Is a Value Proposition? Definition, Framework, and 7 Strong Examples","How to Write a Value Proposition That Makes Customers Choose You (7 Examples)","A value proposition is the single clearest reason a customer should buy from you — not a competitor. Here's how to define yours, with 7 examples from companies that get it right.","Your value proposition is the most important copy on your site. This guide breaks down what makes one work, what makes one fail, and shows 7 examples worth studying.","Page ranks for broad 'value proposition' query but title focuses on UVP — intent mismatch"
8,Tier 1,A/B Testing Guide,https://cxl.com/blog/ab-testing-guide/,"79,000",0.06%,10.5,"What is A/B Testing? The Complete Guide: From Beginner to Pro","This guide will help you understand everything you need to get started with A/B testing. You'll see the best ways to run tests, prioritize hypotheses, analyze results, and the best tools to experiment through A/B testing.","A/B Testing Guide: How to Run Tests That Actually Change Decisions","The A/B Testing Playbook: From Test Design to Statistically Valid Results","How to Run A/B Tests That Win — A Practitioner's Complete Guide","Learn how to design, run, and analyze A/B tests that produce reliable results. Covers hypothesis building, sample size, statistical significance, and avoiding the most common testing mistakes.","Most A/B tests are run incorrectly — and most results are false positives. This guide shows you how to build a testing program that surfaces real improvements, not noise.","'What is' framing is weak at position 10 — lead with outcome, not definition"
9,Tier 2,Answer Engine Optimization,https://cxl.com/blog/answer-engine-optimization-aeo-the-comprehensive-guide/,"31,000",0.78%,3.1,"Answer Engine Optimization (AEO): The comprehensive guide for 2026","This guide explains what Answer Engine Optimization (AEO) actually is and shows you how to shift from ranking for clicks to becoming the answer that AI pulls from.","Answer Engine Optimization (AEO): How to Get Cited by AI Search in 2026","AEO Guide: How to Optimize for AI Answers, Not Just Search Rankings","AEO in 2026: How to Become the Source AI Cites Instead of Just Ranking","Answer Engine Optimization is how you get your content cited by ChatGPT, Perplexity, and Google AI Overviews. This guide explains the strategy, the signals, and the tactics that work now.","AEO is the next layer of SEO — optimizing to be the answer AI serves, not just a link that ranks. Learn how to structure content, build authority, and get cited across AI search surfaces.","Google overriding meta with article intro ('Search is changing. Fast.') — front-load meta so even a truncated snippet drives clicks"
10,Tier 2,Differentiation Strategy,https://cxl.com/blog/differentiation-strategy/,"12,900",2.69%,2.1,"Differentiation strategy: what it is, why it's critical, and how to get it right","Learn how to create a unique differentiation strategy in your business to stand out from the competition and gain a competitive advantage.","Differentiation Strategy: How to Make Your Brand the Obvious Choice","Differentiation Strategy: Why Most Companies Get It Wrong (and How to Fix It)","The Differentiation Strategy Guide: Stop Competing on Price, Start Owning a Position","Most brands say they're different but can't explain how. This guide shows you what real differentiation looks like — the types, the frameworks, and the examples worth stealing from.","Differentiation isn't about being unique for its own sake — it's about being meaningfully better for the right customers. Here's how to build a strategy that earns that position.","Title reads like a table of contents, not a hook — at position 2 it needs to earn the click over better-titled results"
